;Russia GPR index;State-Controlled Russia GPR index;Independent Russia GPR index;Anglosphere GPR index;Ukraine GPR index;Germany GPR index;United Kingdom GPR index;United States GPR index;Anglosphere sanctions intensity index;Russia sancions intensity index
01. Nov 15;16.75;15.08;30.79;5.65;17.57;2.67;4.73;6.1;0.32;1.22
01. Dez 15;15.26;13.52;29.71;6.02;14.61;2.32;3.44;6.94;0.43;2.26
01. Jan 16;12.52;11.26;23.05;5.37;15.43;2.54;3.85;5.94;1.05;1.6
01. Feb 16;14.19;12.58;25.42;4.12;14.4;2.66;2.81;4.65;0.52;1.59
01. Mrz 16;13.38;11.97;24.87;4.8;16.81;2.33;3.18;5.46;0.42;1.35
01. Apr 16;13.74;12.23;25.59;3.68;15.23;2.18;2.85;4.13;0.31;1.49
01. Mai 16;13.62;12.57;21.95;4.86;14.86;2.32;4.93;5.02;0.34;1.47
01. Jun 16;13.28;11.7;27.06;4.26;15.31;1.86;4.1;4.5;0.4;2.3
01. Jul 16;13.31;11.78;21.44;5.33;15.18;2.3;4.47;5.68;0.29;1.32
01. Aug 16;12.41;11.15;18.27;4.48;17.42;2.6;2.94;5.03;0.25;1.04
01. Sep 16;12.37;11.38;16.54;4.69;13.74;2.22;3.27;5.27;0.41;0.96
01. Okt 16;15.38;13.36;23.83;4.04;14.22;2.66;3.32;4.42;0.39;1.06
01. Nov 16;12.34;11.32;16.68;3.79;11.51;2.22;3.14;4.06;0.46;1.57
01. Dez 16;13.27;12.48;17.26;4.75;13.1;2.15;3.98;5.08;0.67;1.06
01. Jan 17;12.48;11.53;16.59;4.6;14.43;2.25;3.83;5.04;0.57;1.34
01. Feb 17;13.41;12.54;17.05;5.63;14.76;2.38;3.97;6.42;0.52;1.25
01. Mrz 17;12.07;11.35;15.58;4.19;14.23;2.18;3.33;4.6;0.5;1.25
01. Apr 17;13.61;12.58;18.86;5.62;13.02;2.93;5.13;5.96;0.57;0.79
01. Mai 17;11.64;11.04;14.78;4.86;13.28;1.95;4.44;5.22;0.65;1.29
01. Jun 17;12.79;11.77;17.47;4.87;14.42;2.6;4.56;5.23;0.52;1.48
01. Jul 17;12.66;11.37;18.79;4.83;13.47;2.42;3.43;5.38;1.04;1.36
01. Aug 17;12.53;10.92;19.9;6.79;17.58;3.34;3.95;7.54;1.19;1.56
01. Sep 17;13.87;13.16;16.74;6.05;15.27;3.09;4.98;6.6;0.93;1.26
01. Okt 17;11.97;11.78;12.74;4.71;13.34;2.3;4;5.07;0.48;1.18
01. Nov 17;12.6;12.01;14.86;4.4;15.36;2.14;3.14;4.87;0.58;1.06
01. Dez 17;14.15;13.26;17.64;4.29;14.47;1.99;3.17;4.77;0.45;1.13
01. Jan 18;13.56;12.59;17.04;4.68;15.1;2.8;3.08;5.3;0.82;1.64
01. Feb 18;12.85;11.76;17.3;4.2;13.79;2.49;3.09;4.77;0.47;1.36
01. Mrz 18;14.54;13.83;17.12;5.18;12.23;2.66;4.68;5.51;0.8;1.33
01. Apr 18;16.21;14.8;21.8;5.59;13.78;2.78;4.18;6.23;1.05;2.27
01. Mai 18;14.08;13.15;17.34;5.58;13.39;3.16;3.95;6.32;1.62;2.34
01. Jun 18;12.36;12.06;13.6;4.69;10.69;2.56;3.6;5.12;0.93;1.23
01. Jul 18;12.67;12.6;12.93;4.12;10.25;2.25;2.83;4.56;0.71;0.91
01. Aug 18;14.77;13.94;18.15;4.42;11.42;2.65;3.45;4.99;1.14;1.98
01. Sep 18;15.05;14.48;17.36;3.6;11.62;2.14;3.54;3.88;0.72;1.63
01. Okt 18;14.93;14.12;18.28;4.12;10.99;2.36;3.43;4.57;0.76;1.82
01. Nov 18;14.89;13.56;20.4;4.15;15.54;2.14;3.55;4.54;0.79;1.7
01. Dez 18;14.32;13.06;19.53;3.9;18.86;2.01;3.12;4.33;0.9;1.34
01. Jan 19;13.35;13.16;14.02;3.86;11.55;2.34;2.78;4.31;0.96;1.55
01. Feb 19;13.74;12.9;16.88;4.33;11.91;2.5;3.35;4.85;1.13;1.32
01. Mrz 19;12.31;11.67;14.98;3.84;11.48;2.03;3.31;4.19;0.73;1.17
01. Apr 19;12.5;11.64;17.4;3.54;10.03;2.12;3.31;3.87;0.68;1.15
01. Mai 19;12.98;12.05;17.28;4.86;9.7;2.25;3.54;5.43;0.99;1.02
01. Jun 19;13.17;12.55;16.77;5.04;10.66;2.55;3.95;5.67;1.23;1.46
01. Jul 19;12.11;11.04;17.73;4.19;9.55;2.46;2.94;4.72;0.9;1.44
01. Aug 19;13.84;13.57;15.2;4.71;10.6;2.66;3.35;5.33;0.76;1.08
01. Sep 19;13.15;12.96;14.11;4.03;8.98;1.94;3.68;4.26;0.83;0.9
01. Okt 19;12.69;12.57;13.19;4.44;10.36;3.01;3.37;5.05;0.64;0.72
01. Nov 19;11.62;11.43;12.41;3.64;7.88;2.11;2.81;4.17;0.46;0.61
01. Dez 19;12;12.16;11.28;4.01;8.17;2.17;3.39;4.43;0.57;1.13
01. Jan 20;13.72;13.73;13.71;6.74;10.13;3;4.31;7.63;1.41;0.66
01. Feb 20;12.48;12.44;12.73;3.62;10.85;2.56;3.27;3.97;0.43;0.75
01. Mrz 20;12.96;12.46;16.97;4.02;6.53;2.22;3.62;4.19;0.35;0.82
01. Apr 20;13.51;12.42;20.14;3.62;7.34;2.21;3.02;4.01;0.29;0.61
01. Mai 20;12.2;11.29;16.67;3.46;8.58;2.15;3.09;3.86;0.36;0.5
01. Jun 20;12.77;12;15.95;3.85;8.9;2.39;3.3;4.37;0.5;0.52
01. Jul 20;12.1;11.61;14.4;3.43;9.22;2.44;2.86;3.88;0.34;0.96
01. Aug 20;12.33;11.78;15.06;3.92;9.28;2.88;3.24;4.43;0.45;1.05
01. Sep 20;12.99;11.45;19.35;3.39;11.59;2.71;2.98;3.81;0.44;1.72
01. Okt 20;17.24;11.92;28.46;3.5;11.14;2.63;3.19;3.85;0.33;1.58
01. Nov 20;14.43;11.87;19.74;3.62;9.62;2.73;3.37;3.95;0.39;1.16
01. Dez 20;14.77;11.71;21.26;3.33;9.18;2.34;2.57;3.84;0.4;1.72
01. Jan 21;15.28;12.32;20.24;4.02;8.11;2.46;3.12;4.4;0.34;1.67
01. Feb 21;14.47;12.59;18.47;3.84;11.22;2.56;3.28;4.32;0.49;1.92
01. Mrz 21;13.95;10.6;21.34;3.42;10.27;2.41;3.21;3.69;0.47;1.61
01. Apr 21;16.72;12.85;25.42;4.06;16.48;2.77;3.37;4.55;0.46;1.84
01. Mai 21;18.94;14;28.43;4.12;12.87;2.82;3.9;4.33;0.36;1.98
01. Jun 21;14.5;12.19;18.97;3.5;10.41;2.61;3.46;3.79;0.46;1.75
01. Jul 21;14.3;11.73;19.81;2.97;10.15;2.48;2.92;3.19;0.36;1.34
01. Aug 21;16.06;12.42;23.46;4.64;10.87;3.05;4.38;4.9;0.37;1.32
01. Sep 21;14.26;12.52;18.04;4.07;9.69;2.73;3.94;4.49;0.26;1.23
01. Okt 21;13.24;11.37;17;3.29;7.04;2.34;3.13;3.62;0.26;0.86
01. Nov 21;15.47;11.23;23;3.7;12.08;2.82;4.01;3.87;0.31;1.26
01. Dez 21;17.65;13.63;25.25;4.29;13.39;3.26;3.39;4.82;0.95;1.8
01. Jan 22;21.62;14.98;32.92;5.77;17.12;4.73;4.71;6.3;1.09;2.58
01. Feb 22;29.29;19.74;47.06;10.74;47.95;7.82;9.45;11.03;3.19;3.79
01. Mrz 22;26.17;28.53;36.84;15.02;91.95;12.21;12.68;16.01;5.4;6.95
01. Apr 22;20.91;24.3;20.05;9.44;67.54;9;8.53;10.22;2.54;5.37
01. Mai 22;20.36;23.35;21.53;7.56;57.16;6.56;6.1;8.54;1.72;5.14
01. Jun 22;17.55;21.62;17.67;6.41;47.79;6.05;5.62;6.88;1.63;4.43
01. Jul 22;17.09;20.61;15.55;5.8;41.44;4.96;5.05;6.21;1.44;3.33
01. Aug 22;17.8;20.78;19.64;6.57;47.17;5.68;5.31;7.33;0.94;4.02
01. Sep 22;25.56;26.67;39.78;6.34;57.37;5.68;5.1;7.03;1.36;3.84
01. Okt 22;31.66;31.18;50.12;6.57;56.31;5.87;4.91;7.58;1.19;3.43
01. Nov 22;22.14;23.75;28.07;5.09;52.14;4.81;4.5;5.48;0.76;2.38
01. Dez 22;19.5;21.27;22.76;5.45;54.61;4.36;4.16;6.13;0.85;3.15
01. Jan 23;22.52;22.62;31.58;4.92;44.62;4.91;4.66;5.14;0.68;2.52
01. Feb 23;22.45;24.74;24.94;6.9;41.35;6.14;6.01;7.49;1.22;3.62
01. Mrz 23;19.44;19.9;28.19;5.91;38.15;4.58;4.56;6.39;0.99;3.11
01. Apr 23;20.85;21.78;27.39;5.22;41.36;4.47;4.29;5.82;0.65;2.64
01. Mai 23;19.32;20.2;24.42;5.32;33.18;4.7;4.32;6.13;0.77;2.22
01. Jun 23;19.29;20.07;24.71;5.08;36.06;5.03;4.21;5.78;0.59;2.02
01. Jul 23;20.74;21.49;26.64;5.42;37.23;4.93;4.14;6.34;0.62;2.05
01. Aug 23;17.25;17.72;23.43;5.21;37.17;4.03;4.54;5.87;0.75;2
01. Sep 23;17.42;17.3;24.27;5.24;36.15;4.32;4.65;5.86;0.71;2.04
01. Okt 23;22.24;20.21;33.22;10.77;39.72;5.88;8.66;11.17;0.73;1.93
01. Nov 23;17.75;18.77;21.61;9.17;35.3;4.5;7.06;9.44;0.45;1.99
01. Dez 23;16.25;17.87;18.03;7.56;36.26;4.63;6.07;8.59;0.53;1.78
01. Jan 24;17.95;20.01;19.08;7.45;37.5;4.36;6.49;8.53;0.56;1.74
01. Feb 24;17.35;19.67;17.11;6.83;37.11;5.46;5.96;7.75;0.5;2.24
01. Mrz 24;15.91;17.87;16.46;6.39;36.51;4.76;5.47;7.47;0.41;1.86
01. Apr 24;16.03;18.06;16.35;7.46;37.93;5.52;6.35;8.59;0.69;1.92
01. Mai 24;18.36;21.49;16.39;6.54;37.26;5.5;5.75;7.72;0.65;1.75
01. Jun 24;16.44;18.86;15.67;6.03;33.24;4.25;4.96;7.05;0.57;2.85
01. Jul 24;15.36;17.37;15.46;5.08;29.03;3.73;4.18;5.83;0.78;2.08
01. Aug 24;19.02;20.98;21.01;6.58;3.47;4.98;5.59;7.74;0.36;2.09
01. Sep 24;17.56;19.63;18.46;6.15;33.26;4.28;5.51;7.51;0.58;1.78
01. Okt 24;16.31;18.85;14.69;6.89;30.7;5.01;6.33;7.94;0.53;1.75
01. Nov 24;17.27;19.84;16.74;5.96;33.72;5.02;6.33;6.62;0.6;1.75
01. Dez 24;16.51;19.32;15.09;6.4;32.32;5.38;5.57;7.91;0.71;1.95
01. Jan 25;16.66;19.71;14.81;5.9;35.99;4.5;5.14;7.03;0.71;1.68
