;Russia GPR index;State-Controlled Russia GPR index;Independent Russia GPR index;Anglosphere GPR index;Ukraine GPR index;Germany GPR index;United Kingdom GPR index;United States GPR index;Anglosphere sanctions intensity index;Russia sancions intensity index
01. Feb 98;;19.62;;4.02;5;2.96;4.92;3.98;0.36;
01. Mrz 98;;15;;2.82;4.63;2.77;2.55;2.84;0.27;
01. Apr 98;;13.3;;2.79;4.5;2.19;3.04;2.71;0.23;
01. Mai 98;;15.38;;4.69;5.02;2.8;4.99;4.76;0.59;
01. Jun 98;;15.97;;4.13;5.35;3.4;3.47;4.28;0.48;
01. Jul 98;;18.81;;2.99;4.36;1.96;3.27;2.97;0.15;
01. Aug 98;;17.37;;4.88;5.81;3.02;4.79;4.93;0.2;
01. Sep 98;;19.42;;3.33;2.35;2.02;3.13;3.35;0.15;
01. Okt 98;;14.84;;2.77;0;1.85;2.98;2.81;0.12;
01. Nov 98;;14.61;;3.56;3.68;2.28;4.06;3.51;0.28;
01. Dez 98;;14.69;;4.07;3.99;2.74;5.29;4.01;0.32;
01. Jan 99;;15.64;;3.3;3.86;3.15;2.88;3.26;0.19;
01. Feb 99;;16.74;;3.11;4.87;2.65;3.56;3.06;0.14;
01. Mrz 99;;17.79;;3.74;8.6;3.01;3.65;3.8;0.12;
01. Apr 99;;19.41;;5.43;8.57;5.28;6.99;5.32;0.22;
01. Mai 99;;21.52;;4.07;5.4;3.91;3.74;4.21;0.12;
01. Jun 99;;18.89;;3.58;3.55;2.96;3.07;3.63;0.11;
01. Jul 99;;16.95;;2.93;5;2.42;2.91;2.97;0.09;
01. Aug 99;;18.38;;3.18;2.21;2.76;3.36;3.12;0.08;
01. Sep 99;;17.24;;3.62;4.28;2.29;3.32;3.66;0.24;
01. Okt 99;;20.77;;3.85;4.05;3.04;3.04;4;0.11;
01. Nov 99;;17.97;;3.13;3.92;3;3.13;3.1;0.14;
01. Dez 99;;15.79;;4.15;2.64;2.87;3.59;4.24;0.17;
01. Jan 00;;16.01;;3.32;2.26;2.21;2.75;3.38;0.11;
01. Feb 00;;15.13;;2.84;2.92;2.23;2.51;2.77;0.13;
01. Mrz 00;;15.71;;2.85;5.14;2.49;2.99;2.86;0.12;
01. Apr 00;;15.34;;2.93;2.27;2.16;3.02;2.88;0.1;
01. Mai 00;;13.66;;3.47;2.23;2.83;2.8;3.52;0.09;
01. Jun 00;;15.21;;3.09;2.96;2.09;2.76;3.13;0.24;
01. Jul 00;;11.72;;2.91;3.17;2.54;2.48;2.89;0.16;
01. Aug 00;;11.3;;2.51;2.93;2.08;2.7;2.51;0.06;
01. Sep 00;;13.31;;2.95;3.16;2.2;2.84;3;0.15;
01. Okt 00;;13.1;;3.8;3.49;2.65;2.65;4.03;0.25;
01. Nov 00;;13.36;;2.72;3.62;1.98;2.82;2.73;0.09;
01. Dez 00;;12.37;;2.73;2.71;1.98;2.38;2.79;0.13;
01. Jan 01;;13.38;;2.81;3.01;2.53;2.57;2.81;0.13;
01. Feb 01;;11.6;;3.38;2.82;2.94;3.98;3.22;0.19;
01. Mrz 01;;11.34;;3.01;2.26;3.11;2.82;3.01;0.14;
01. Apr 01;;12.14;;2.7;1.5;3.04;2.47;2.81;0.07;
01. Mai 01;;9.95;;3;2.44;2.65;2.8;3.09;0.1;
01. Jun 01;;11.98;;3.57;2.53;2.75;3.12;3.74;0.13;
01. Jul 01;;11.45;;3.18;3.62;2.44;2.99;3.29;0.11;
01. Aug 01;;12.2;;2.92;3.34;2.79;2.86;2.96;0.05;
01. Sep 01;;12.05;;14.04;5.45;5.71;12.57;13.69;0.22;
01. Okt 01;;18.48;;13.05;5.47;5.49;12.17;13.23;0.2;
01. Nov 01;;18.65;;8.32;4.29;4.01;5.66;9.34;0.18;
01. Dez 01;;14.74;;6.73;2.33;3.55;4.13;7.69;0.11;
01. Jan 02;;13.85;;5.28;2.4;2.74;3.83;5.92;0.1;
01. Feb 02;;12.27;;4.89;1.71;2.7;3.63;5.46;0.22;
01. Mrz 02;;12.03;;4.93;1.12;2.9;4.14;5.31;0.05;
01. Apr 02;;12.84;;5.47;1.03;3.35;4.69;5.79;0.1;
